cell,delta_lower,delta_upper,endpoint_real_lower,distance_real_lower,argument_norm_upper
0,0.0,0.0015935897827148438,0.09391249598753532,0.0655826074416588,0.0008555996295321865
1,0.0015935897827148438,0.0031871795654296875,0.09359897613869603,0.06624697781095844,0.0017121899513002443
2,0.0031871795654296875,0.004780769348144531,0.09328363845482272,0.0668912600777362,0.002575068501900639
3,0.004780769348144531,0.006374359130859375,0.09296726277475148,0.0674662172095991,0.003443583889549551
4,0.006374359130859375,0.007967948913574219,0.09264995211719722,0.0680364160178253,0.004317764045064306
5,0.007967948913574219,0.009561538696289062,0.09233165531101016,0.06860176861821729,0.005197637010841028
6,0.009561538696289062,0.011155128479003906,0.09201232049354405,0.0691621877181734,0.006083230815653314
7,0.011155128479003906,0.01274871826171875,0.0916918951159614,0.06971758668585526,0.006974573439357863
8,0.01274871826171875,0.014342308044433594,0.0913703259491704,0.0702678796214941,0.00787169279752458
9,0.014342308044433594,0.015935897827148438,0.09104755909041429,0.07081298143085628,0.008774616731971783
10,0.015935897827148438,0.01752948760986328,0.09072353997053527,0.07135280790090617,0.009683373003378728
11,0.01752948760986328,0.019123077392578125,0.0903982133619343,0.07188727577769483,0.010597989284697565
12,0.019123077392578125,0.02071666717529297,0.0900715233872491,0.07241630284649804,0.011518493154872538
13,0.02071666717529297,0.022310256958007812,0.08974341352877298,0.07293980801424572,0.012444912092653804
14,0.022310256958007812,0.023903846740722656,0.08941382663863703,0.07345771139424934,0.013377273470407505
15,0.023903846740722656,0.0254974365234375,0.08908270494977868,0.07396993439327408,0.014315604547869905
16,0.0254974365234375,0.027091026306152344,0.08874999008771989,0.0744763998009663,0.015259932465819501
17,0.027091026306152344,0.028684616088867188,0.08841562308317875,0.07497703188167058,0.016210284239650614
18,0.028684616088867188,0.03027820587158203,0.0880795443855379,0.07547175646865165,0.017166686752838996
19,0.03027820587158203,0.031871795654296875,0.08774169387719365,0.07596050106074301,0.018129166750293035
20,0.031871795654296875,0.03346538543701172,0.0874020108888104,0.07644319492144709,0.019097750831585984
21,0.03346538543701172,0.03505897521972656,0.08706043421550441,0.07691976918050818,0.020072465444065806
22,0.03505897521972656,0.036652565002441406,0.08671690213398082,0.07739015693795114,0.021053336875840913
23,0.036652565002441406,0.03824615478515625,0.08637135242064965,0.07785429337063782,0.022040391248638106
24,0.03824615478515625,0.039839744567871094,0.08602372237074445,0.07831211584132504,0.02303365451053227
25,0.039839744567871094,0.04143333435058594,0.08567394881846872,0.0787635640102445,0.024033152428545246
26,0.04143333435058594,0.04302692413330078,0.08532196815819514,0.07920857994921984,0.025038910581112798
27,0.04302692413330078,0.044620513916015625,0.08496771636674187,0.0796471082583189,0.02605095435041808
28,0.044620513916015625,0.04621410369873047,0.08461112902675112,0.08007909618504268,0.027069308914590258
29,0.04621410369873047,0.04780769348144531,0.08425214135119455,0.08050449374606852,0.02809399923976702
30,0.04780769348144531,0.049401283264160156,0.08389068820903053,0.08092325385153602,0.029125050072019334
